(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=e8tBdetC7oE')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=VS2XGlD1-pI')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=68QKNMPwTWs')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=nIZ5yelHWFk')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=XI4HHSsNwyY')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=fwP96ed7NNk&list=PLWpF892AQ2gR3Kwvd3YTpFsG7QIT_w4zf')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=sYkTmPRzRQ4&list=PLWpF892AQ2gSbapgwEP44aSUJWqOtYW-j')
(6705, 'IMG05904_jerome', '專題討論(一)(教材課程) - 溫嘉榮', 'https://elearning.fms.stu.edu.tw/media/s/ut5QEv')
(6705, 'IMG05904_jerome', '專題討論(一)(教材課程) - 溫嘉榮', 'https://elearning.fms.stu.edu.tw/media/s/w7lJWQ')
(6705, 'IMG05904_jerome', '專題討論(一)(教材課程) - 溫嘉榮', 'https://elearning.fms.stu.edu.tw/media/s/FxqQK0')
(6705, 'IMG05904_jerome', '專題討論(一)(教材課程) - 溫嘉榮', 'https://elearning.fms.stu.edu.tw/media/s/xaFXtN')
(6705, 'IMG05904_jerome', '專題討論(一)(教材課程) - 溫嘉榮', 'https://elearning.fms.stu.edu.tw/media/s/DWxn9H')
(6705, 'IMG05904_jerome', '專題討論(一)(教材課程) - 溫嘉榮', 'https://elearning.fms.stu.edu.tw/media/s/mywCcI')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=n4e5UPu1co0')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=wvePWlW4kLE')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=Spp5XmiCJLM')
(7258, 'ZZU30003_hsucc', '自然科學專題探討(教材課程) - 許智程', 'https://www.youtube.com/watch?v=D-DqW9ki2rg')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=3W8HNDEfoP8')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=W55cNVRE9Ek')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=sHHa4ETr2jE')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=DCx3O3gygok')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=0EwJRUzVYxk')
(7272, 'AAJ01402_lyy7777', '民主與法治(教材課程) - 李永義', 'https://www.youtube.com/watch?v=J9btigv8l4s&index=4&list=PLfy2dsPrWejQzb4ocmFDoO9QRA7mntb4M')
